gender 	 500 features 	 5 epochs 	 120 batch size 	 0.45829145728643217 accuracy 
age 	 500 features 	 1 epochs 	 120 batch size 	 0.4949748743718593 accuracy 
gender 	 500 features 	 5 epochs 	 10 batch size 	 0.5015075376884423 accuracy 
age 	 500 features 	 1 epochs 	 10 batch size 	 0.571356783919598 accuracy 
gender 	 500 features 	 5 epochs 	 32 batch size 	 0.528643216080402 accuracy 
age 	 500 features 	 1 epochs 	 32 batch size 	 0.5582914572864321 accuracy 
gender 	 500 features 	 5 epochs 	 40 batch size 	 0.5241206030150753 accuracy 
age 	 500 features 	 1 epochs 	 40 batch size 	 0.5562814070351759 accuracy 
gender 	 100 features 	 5 epochs 	 32 batch size 	 0.5015075376884423 accuracy 
age 	 100 features 	 1 epochs 	 32 batch size 	 0.48693467336683416 accuracy 
gender 	 100 features 	 40 epochs 	 32 batch size 	 0.5291457286432161 accuracy 
age 	 100 features 	 1 epochs 	 32 batch size 	 0.4738693467336683 accuracy 
gender 	 500 features 	 40 epochs 	 32 batch size 	 0.5045226130653266 accuracy 
age 	 500 features 	 1 epochs 	 32 batch size 	 0.4507537688442211 accuracy 
gender 	 1000 features 	 40 epochs 	 32 batch size 	 0.5175879396984925 accuracy 
age 	 1000 features 	 1 epochs 	 32 batch size 	 0.5859296482412061 accuracy 
gender 	 1000 features 	 40 epochs 	 32 batch size 	 0.5195979899497487 accuracy 
age 	 1000 features 	 1 epochs 	 32 batch size 	 0.5442211055276381 accuracy 
gender 	 1000 features 	 40 epochs 	 32 batch size 	 0.5150753768844221 accuracy 
age 	 1000 features 	 1 epochs 	 32 batch size 	 0.5944723618090453 accuracy 
gender 	 1000 features 	 100 epochs 	 32 batch size 	 0.5241206030150753 accuracy 
age 	 1000 features 	 1 epochs 	 32 batch size 	 0.36231155778894475 accuracy 
gender 	 1000 features 	 5 epochs 	 32 batch size 	 0.5180904522613066 accuracy 
age 	 1000 features 	 1 epochs 	 32 batch size 	 0.3492462311557789 accuracy 
gender 	 1000 features 	 5 epochs 	 32 batch size 	 0.5090452261306533 accuracy 
age 	 1000 features 	 5 epochs 	 32 batch size 	 0.5396984924623116 accuracy 
gender 	 1000 features 	 10 epochs 	 32 batch size 	 0.5251256281407035 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5618090452261306 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5296482412060302 accuracy 
age 	 1000 features 	 20 epochs 	 32 batch size 	 0.5507537688442211 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.48894472361809044 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5738693467336683 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5170854271356784 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5758793969849246 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.528643216080402 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5442211055276381 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5452261306532663 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5281407035175879 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5738693467336683 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5487437185929648 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5658291457286432 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5261306532663317 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5758793969849246 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5371859296482412 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5698492462311557 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5241206030150753 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5635447675749943 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.40645752232654 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5798994974874372 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5371859296482412 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5718592964824121 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.536180904522613 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5768844221105528 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.549748743718593 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5844221105527638 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5492462311557789 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5758793969849246 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5537688442211055 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5834170854271357 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5718592964824121 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.563819095477387 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5723618090452262 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.564321608040201 accuracy 
age 	 1000 features 	 20 epochs 	 32 batch size 	 0.550251256281407 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5944723618090453 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5381909547738694 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5698492462311557 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5698492462311557 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5899497487437186 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5487437185929648 accuracy 
gender 	 1000 features 	 20 epochs 	 64 batch size 	 0.5798994974874372 accuracy 
age 	 1000 features 	 10 epochs 	 64 batch size 	 0.549748743718593 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.492964824120603 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.42462311557788945 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5964824120603015 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5477386934673367 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5804020100502513 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5613065326633165 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6005025125628141 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5597989949748744 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6010050251256281 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5532663316582914 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5824120603015075 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5547738693467337 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6186440677966102 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 1.0 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5698847262247838 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.45677233429394815 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5793969849246231 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5487437185929648 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5768844221105528 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5537688442211055 accuracy 
